日期,基金代码,基金名称,基金份额(亿份),ETF收盘价
20230927,510300,沪深300ETF华泰柏瑞,315.103877,3.7724
20230927,510310,沪深300ETF易方达,162.543074,1.8013
20230927,510500,中证500ETF南方,100.561686,5.7805
20230928,510050,上证50ETF华夏,248.88366800000003,2.585
20230928,510300,沪深300ETF华泰柏瑞,319.162877,3.7612
20230928,510310,沪深300ETF易方达,163.563074,1.796
20230928,510500,中证500ETF南方,99.533686,5.7964
20231010,510050,上证50ETF华夏,250.611668,2.559
20231010,510300,沪深300ETF华泰柏瑞,322.204877,3.7274
20231010,510310,沪深300ETF易方达,163.263074,1.7802
20231010,510500,中证500ETF南方,99.085686,5.7341
20231011,510050,上证50ETF华夏,251.50266800000003,2.568
20231011,510300,沪深300ETF华泰柏瑞,323.887877,3.7378
20231011,510310,沪深300ETF易方达,163.463074,1.7853
20231011,510500,中证500ETF南方,96.989686,5.7336
20231013,510050,上证50ETF华夏,253.158668,2.566
20231013,510300,沪深300ETF华泰柏瑞,328.243877,3.7336
20231013,510310,沪深300ETF易方达,164.523074,1.7833
20231013,510500,中证500ETF南方,96.005686,5.7368
20231016,510050,上证50ETF华夏,253.275668,2.544
20231016,510300,沪深300ETF华泰柏瑞,327.964877,3.6963
20231016,510310,沪深300ETF易方达,164.703074,1.7655
20231016,510500,中证500ETF南方,95.725686,5.6827
20231018,510050,上证50ETF华夏,251.241668,2.543
20231018,510300,沪深300ETF华泰柏瑞,326.227877,3.6798
20231018,510310,沪深300ETF易方达,164.803074,1.7577
20231018,510500,中证500ETF南方,95.441686,5.6254
20231019,510050,上证50ETF华夏,249.999668,2.475
20231019,510300,沪深300ETF华泰柏瑞,324.463877,3.6014
20231019,510310,沪深300ETF易方达,165.083074,1.7203
20231019,510500,中证500ETF南方,95.565686,5.5642
20231025,510050,上证50ETF华夏,243.600668,2.463
20231025,510300,沪深300ETF华泰柏瑞,332.716877,3.5735
20231025,510310,沪深300ETF易方达,193.923074,1.7071
20231025,510500,中证500ETF南方,89.441686,5.4728
20231031,510050,上证50ETF华夏,245.211668,2.488
20231031,510300,沪深300ETF华泰柏瑞,333.589877,3.6426
20231031,510310,沪深300ETF易方达,211.143074,1.7403
20231031,510500,中证500ETF南方,85.773686,5.6278
20231101,510050,上证50ETF华夏,238.587668,2.498
20231101,510300,沪深300ETF华泰柏瑞,332.617877,3.6411
20231101,510310,沪深300ETF易方达,211.06307400000003,1.7395
20231101,510500,中证500ETF南方,85.593686,5.6091
20231103,510050,上证50ETF华夏,241.233668,2.514
20231103,510300,沪深300ETF华泰柏瑞,337.648877,3.6543
20231103,510310,沪深300ETF易方达,216.74307400000004,1.7459
20231103,510500,中证500ETF南方,87.00168599999999,5.6101
20231106,510050,上证50ETF华夏,240.450668,2.535
20231106,510300,沪深300ETF华泰柏瑞,338.044877,3.7031
20231106,510310,沪深300ETF易方达,217.163074,1.7694
20231106,510500,中证500ETF南方,85.517686,5.7063
20231108,510050,上证50ETF华夏,245.184668,2.514
20231108,510300,沪深300ETF华泰柏瑞,335.686877,3.6811
20231108,510310,沪深300ETF易方达,216.043074,1.7589
20231108,510500,中证500ETF南方,83.725686,5.709
20231109,510050,上证50ETF华夏,249.063668,2.513
20231109,510300,沪深300ETF华泰柏瑞,334.948877,3.6829
20231109,510310,沪深300ETF易方达,215.703074,1.7598
20231109,510500,中证500ETF南方,82.945686,5.6928
20231115,510050,上证50ETF华夏,257.94666800000005,2.503
20231115,510300,沪深300ETF华泰柏瑞,332.752877,3.6767
20231115,510310,沪深300ETF易方达,216.74307400000004,1.7571
20231115,510500,中证500ETF南方,79.509686,5.765
20231121,510050,上证50ETF华夏,276.43266800000004,2.492
20231121,510300,沪深300ETF华泰柏瑞,325.570877,3.65
20231121,510310,沪深300ETF易方达,222.28307400000003,1.7444
20231121,510500,中证500ETF南方,78.345686,5.7406
20231122,510050,上证50ETF华夏,276.594668,2.472
20231122,510300,沪深300ETF华泰柏瑞,325.795877,3.613
20231122,510310,沪深300ETF易方达,222.983074,1.7268
20231122,510500,中证500ETF南方,79.00168599999999,5.6703
20231124,510050,上证50ETF华夏,276.315668,2.466
20231124,510300,沪深300ETF华泰柏瑞,322.663877,3.6063
20231124,510310,沪深300ETF易方达,221.28307400000003,1.7236
20231124,510500,中证500ETF南方,77.121686,5.667
20231127,510050,上证50ETF华夏,276.630668,2.406
20231127,510300,沪深300ETF华泰柏瑞,322.096877,3.5796
20231127,510310,沪深300ETF易方达,221.363074,1.7109
20231127,510500,中证500ETF南方,76.693686,5.6638
20231129,510050,上证50ETF华夏,288.366668,2.393
20231129,510300,沪深300ETF华泰柏瑞,321.124877,3.5556
20231129,510310,沪深300ETF易方达,222.883074,1.6995
20231129,510500,中证500ETF南方,75.449686,5.6509
20231130,510050,上证50ETF华夏,290.39166800000004,2.401
20231130,510300,沪深300ETF华泰柏瑞,321.052877,3.5636
20231130,510310,沪深300ETF易方达,224.543074,1.7034
20231130,510500,中证500ETF南方,74.865686,5.6429
20231206,510050,上证50ETF华夏,299.589668,2.317
20231206,510300,沪深300ETF华泰柏瑞,314.743877,3.4647
20231206,510310,沪深300ETF易方达,231.163074,1.6564
20231206,510500,中证500ETF南方,75.677686,5.5792
20231212,510050,上证50ETF华夏,313.539668,2.337
20231212,510300,沪深300ETF华泰柏瑞,310.531877,3.4942
20231212,510310,沪深300ETF易方达,234.46307400000003,1.6707
20231212,510500,中证500ETF南方,79.093686,5.663
20231213,510050,上证50ETF华夏,315.303668,2.292
20231213,510300,沪深300ETF华泰柏瑞,310.369877,3.4359
20231213,510310,沪深300ETF易方达,234.883074,1.6428
20231213,510500,中证500ETF南方,78.997686,5.6031
20231215,510050,上证50ETF华夏,314.097668,2.276
20231215,510300,沪深300ETF华泰柏瑞,309.991877,3.4073
20231215,510310,沪深300ETF易方达,234.263074,1.6291
20231215,510500,中证500ETF南方,78.829686,5.5444
20231218,510050,上证50ETF华夏,316.626668,2.282
20231218,510300,沪深300ETF华泰柏瑞,313.456877,3.3947
20231218,510310,沪深300ETF易方达,235.06307400000003,1.6232
20231218,510500,中证500ETF南方,79.585686,5.4799
20231220,510050,上证50ETF华夏,321.22566800000004,2.274
20231220,510300,沪深300ETF华泰柏瑞,324.283877,3.3654
20231220,510310,沪深300ETF易方达,243.103074,1.6092
20231220,510500,中证500ETF南方,80.973686,5.4032
20231221,510050,上证50ETF华夏,327.12966800000004,2.298
20231221,510300,沪深300ETF华泰柏瑞,333.193877,3.3993
20231221,510310,沪深300ETF易方达,244.74307400000004,1.6254
20231221,510500,中证500ETF南方,82.325686,5.4325
20231227,510050,上证50ETF华夏,336.048668,2.304
20231227,510300,沪深300ETF华泰柏瑞,345.064877,3.4047
20231227,510310,沪深300ETF易方达,269.30307400000004,1.6281
20231227,510500,中证500ETF南方,83.37368599999999,5.3777
20240102,510050,上证50ETF华夏,337.659668,2.329
20240102,510300,沪深300ETF华泰柏瑞,374.620877,3.4553
20240102,510310,沪深300ETF易方达,282.443074,1.6524
20240102,510500,中证500ETF南方,83.009686,5.5041
20240103,510050,上证50ETF华夏,338.262668,2.332
20240103,510300,沪深300ETF华泰柏瑞,373.144877,3.447
20240103,510310,沪深300ETF易方达,283.74307400000004,1.6484
20240103,510500,中证500ETF南方,82.309686,5.495
20240105,510050,上证50ETF华夏,335.49966800000004,2.305
20240105,510300,沪深300ETF华泰柏瑞,359.689877,3.3967
20240105,510310,沪深300ETF易方达,292.883074,1.6245
20240105,510500,中证500ETF南方,81.085686,5.3732
20240108,510050,上证50ETF华夏,336.750668,2.28
20240108,510300,沪深300ETF华泰柏瑞,359.941877,3.3527
20240108,510310,沪深300ETF易方达,295.003074,1.6035
20240108,510500,中证500ETF南方,80.253686,5.2557
20240110,510050,上证50ETF华夏,337.686668,2.271
20240110,510300,沪深300ETF华泰柏瑞,357.421877,3.3436
20240110,510310,沪深300ETF易方达,306.06307400000003,1.5991
20240110,510500,中证500ETF南方,80.017686,5.2465
20240111,510050,上证50ETF华夏,340.125668,2.276
20240111,510300,沪深300ETF华泰柏瑞,360.805877,3.3625
20240111,510310,沪深300ETF易方达,307.04307400000005,1.6081
20240111,510500,中证500ETF南方,80.529686,5.3131
